simulation_name,empty_cells,seed_cells,watered_cells,total_changes,total_tasks,total_reloads,drone0_threshold,drone0_speciality,drone1_threshold,drone1_speciality,drone2_threshold,drone2_speciality,drone3_threshold,drone3_speciality,drone4_threshold,drone4_speciality,drone5_threshold,drone5_speciality
01-11-11-54-51,0,0,0,0,0,0,5.00,3,5.00,3,5.00,3,5.00,3,5.00,3,5.00,3
01-11-11-55-05,0,0,0,0,0,0,5.00,3,5.00,3,5.00,3,5.00,3,5.00,3,5.00,3
01-11-11-55-05,24,18,22,1,6,0,23.00,1,15.00,2,7.00,3,5.00,3,21.00,1,7.00,1
01-11-11-55-05,23,18,23,5,8,0,23.00,2,7.00,2,11.00,3,5.00,3,21.00,3,9.00,1
01-11-11-55-05,25,18,21,5,11,0,17.00,1,7.00,2,7.00,1,5.00,3,21.00,3,13.00,1
01-11-11-55-05,28,18,18,7,13,2,11.00,1,7.00,2,5.00,1,5.00,3,21.00,3,17.00,2
01-11-11-55-05,28,18,18,8,15,2,11.00,1,7.00,2,5.00,1,5.00,3,21.00,3,17.00,2
01-11-11-55-05,26,20,18,10,16,4,11.00,1,7.00,2,5.00,1,5.00,3,21.00,3,9.00,2
01-11-11-55-05,25,21,18,11,18,7,11.00,1,9.00,2,5.00,1,5.00,3,21.00,3,11.00,2
01-11-11-55-05,25,19,20,13,20,7,11.00,1,9.00,2,5.00,1,9.00,3,13.00,3,11.00,2
01-11-11-55-05,24,18,22,14,22,8,11.00,1,11.00,2,5.00,1,11.00,2,5.00,3,13.00,2
01-11-11-55-05,23,19,22,15,24,10,11.00,1,13.00,2,5.00,1,13.00,3,5.00,3,15.00,2
01-11-11-55-05,23,17,24,17,27,11,11.00,1,13.00,2,5.00,1,7.00,3,9.00,3,15.00,2
01-11-11-55-05,22,20,22,19,30,13,5.00,1,7.00,2,9.00,2,7.00,3,9.00,3,11.00,1
01-11-11-55-05,23,21,20,19,34,14,9.00,1,9.00,2,11.00,2,7.00,3,9.00,3,15.00,1
01-11-11-55-05,20,24,20,22,35,15,9.00,1,5.00,2,13.00,1,7.00,3,9.00,3,15.00,1
01-11-11-55-05,20,24,20,23,37,15,9.00,1,5.00,2,13.00,1,7.00,3,9.00,3,15.00,1
01-11-11-55-05,22,23,19,24,38,18,13.00,1,5.00,2,17.00,2,9.00,3,11.00,3,19.00,1
01-11-11-55-05,23,23,18,25,43,19,15.00,1,5.00,2,7.00,1,9.00,3,11.00,3,21.00,1
01-11-11-55-05,24,20,20,27,45,19,5.00,1,5.00,2,9.00,1,9.00,2,9.00,3,23.00,1
01-11-11-55-05,24,18,22,30,45,20,5.00,1,5.00,2,9.00,1,9.00,2,13.00,3,21.00,3
01-11-11-55-05,25,18,21,30,46,23,7.00,1,5.00,2,11.00,1,9.00,2,13.00,3,21.00,3
01-11-11-55-05,26,18,20,30,49,24,9.00,1,5.00,2,13.00,1,9.00,2,13.00,3,21.00,3
01-11-11-55-05,24,20,20,34,53,24,11.00,1,9.00,2,5.00,2,13.00,1,15.00,3,23.00,3
01-11-11-55-05,23,21,20,35,55,26,11.00,1,11.00,2,7.00,2,13.00,1,15.00,3,23.00,3
01-11-11-55-05,25,22,17,36,58,26,9.00,1,13.00,2,9.00,2,19.00,2,15.00,3,23.00,3
01-11-11-55-05,25,22,17,39,61,27,11.00,1,15.00,2,11.00,2,9.00,2,15.00,1,25.00,3
01-11-11-55-05,25,23,16,39,62,28,5.00,1,17.00,2,5.00,2,11.00,2,17.00,3,25.00,3
01-11-11-55-05,26,24,14,40,66,29,9.00,1,19.00,2,7.00,2,13.00,2,17.00,3,25.00,3
01-11-11-55-05,26,25,13,40,68,30,11.00,1,21.00,2,5.00,2,15.00,2,11.00,1,25.00,3
01-11-11-55-05,25,27,12,43,71,31,13.00,1,25.00,2,7.00,2,19.00,2,5.00,1,25.00,3
01-11-11-55-05,24,28,12,45,72,33,13.00,1,27.00,2,9.00,2,19.00,1,5.00,1,25.00,3
01-11-11-55-05,24,27,13,46,72,35,13.00,1,27.00,2,5.00,3,19.00,1,5.00,1,27.00,3
01-11-11-55-05,23,28,13,47,75,37,13.00,1,17.00,2,5.00,3,19.00,1,5.00,1,27.00,3
01-11-11-55-05,23,26,15,47,78,37,13.00,1,17.00,2,9.00,3,17.00,3,5.00,1,31.00,3
01-11-11-55-05,22,24,18,50,80,38,13.00,1,19.00,2,9.00,3,11.00,3,5.00,1,33.00,2
01-11-11-55-05,21,24,19,52,81,38,13.00,1,21.00,2,5.00,3,13.00,3,5.00,1,23.00,2
01-11-11-55-05,22,24,18,52,83,41,15.00,1,21.00,2,5.00,3,13.00,3,7.00,1,23.00,2
01-11-11-55-05,22,24,18,54,87,41,15.00,3,23.00,2,7.00,3,15.00,3,9.00,1,13.00,2
01-11-11-55-05,20,26,18,57,88,41,15.00,3,27.00,2,7.00,3,15.00,3,9.00,1,17.00,2
01-11-11-55-05,20,25,19,57,89,44,17.00,3,27.00,2,9.00,3,17.00,3,9.00,1,17.00,2
01-11-11-55-05,22,25,17,57,93,45,9.00,1,27.00,2,9.00,3,17.00,3,11.00,3,17.00,2
01-11-11-55-05,22,22,20,60,95,45,9.00,1,27.00,2,7.00,3,21.00,2,13.00,1,17.00,2
01-11-11-55-05,21,23,20,63,98,46,11.00,1,31.00,2,9.00,3,13.00,2,15.00,1,21.00,2
01-11-11-55-05,22,23,19,63,100,47,5.00,1,31.00,2,9.00,3,13.00,2,17.00,1,21.00,2
01-11-11-55-05,23,24,17,66,101,47,9.00,1,33.00,2,9.00,3,15.00,2,9.00,1,23.00,2
01-11-11-55-05,24,24,16,67,103,49,5.00,1,33.00,2,9.00,3,15.00,2,11.00,1,23.00,2
01-11-11-55-05,24,23,17,67,105,50,5.00,1,33.00,2,11.00,3,15.00,2,11.00,1,23.00,2
01-11-11-55-05,24,21,19,68,107,51,5.00,1,33.00,2,7.00,3,15.00,2,11.00,1,23.00,2
01-11-11-55-05,22,22,20,70,110,52,5.00,1,25.00,2,9.00,3,19.00,2,11.00,1,23.00,3
01-11-11-55-05,21,21,22,71,112,53,5.00,1,27.00,2,9.00,2,21.00,2,11.00,1,27.00,3
01-11-11-55-05,23,21,20,71,116,54,9.00,1,27.00,2,9.00,2,21.00,2,7.00,1,27.00,3
01-11-11-55-05,22,20,22,73,117,55,9.00,1,29.00,2,11.00,2,23.00,2,7.00,1,19.00,3
01-11-11-55-05,19,23,22,75,120,55,9.00,1,23.00,2,9.00,2,17.00,2,7.00,1,19.00,3
01-11-11-55-05,18,23,23,77,121,58,9.00,1,25.00,2,7.00,3,7.00,2,7.00,1,21.00,3
01-11-11-55-05,18,24,22,77,126,60,11.00,1,27.00,2,5.00,2,9.00,2,9.00,1,21.00,3
01-11-11-55-05,17,23,24,80,129,60,11.00,1,29.00,2,7.00,2,11.00,2,9.00,1,25.00,3
01-11-11-55-05,18,21,25,82,131,61,13.00,1,29.00,2,7.00,2,11.00,2,11.00,1,29.00,3
01-11-11-55-05,21,21,22,82,132,61,7.00,1,29.00,2,7.00,2,11.00,2,17.00,1,29.00,3
01-11-11-55-05,20,22,22,85,133,63,7.00,1,31.00,2,9.00,2,13.00,2,17.00,1,29.00,3
01-11-11-55-05,19,23,22,86,136,63,7.00,1,33.00,2,11.00,2,15.00,2,9.00,2,29.00,3
01-11-11-55-05,17,25,22,88,136,66,7.00,1,25.00,2,15.00,3,19.00,2,13.00,2,29.00,3
01-11-11-55-05,17,25,22,88,139,67,7.00,1,25.00,2,15.00,3,19.00,2,13.00,2,29.00,3
01-11-11-55-05,18,24,22,91,142,68,11.00,1,27.00,2,9.00,1,7.00,3,15.00,2,33.00,3
01-11-11-55-05,18,23,23,92,144,69,11.00,1,27.00,2,9.00,1,9.00,3,15.00,2,35.00,3
01-11-11-55-05,19,22,23,93,146,70,13.00,1,27.00,2,11.00,1,11.00,3,15.00,2,37.00,3
01-11-11-55-05,20,22,22,96,149,71,7.00,1,29.00,2,13.00,3,13.00,3,5.00,2,29.00,1
01-11-11-55-05,20,21,23,97,150,71,7.00,1,29.00,2,15.00,3,15.00,3,5.00,2,29.00,3
01-11-11-55-05,21,21,22,98,152,73,9.00,1,29.00,2,15.00,3,15.00,3,5.00,2,29.00,3
01-11-11-55-05,22,20,22,98,155,74,11.00,1,29.00,2,7.00,1,17.00,3,5.00,2,31.00,3
01-11-11-55-05,19,22,23,102,156,75,11.00,1,35.00,2,7.00,3,19.00,3,11.00,2,33.00,3
01-11-11-55-05,18,23,23,103,158,76,11.00,1,37.00,2,7.00,3,19.00,3,13.00,2,33.00,3
01-11-11-55-05,18,22,24,104,160,79,11.00,1,33.00,3,7.00,1,19.00,2,13.00,2,33.00,1
01-11-11-55-05,19,21,24,105,164,80,13.00,1,35.00,3,9.00,1,19.00,2,13.00,2,25.00,3
01-11-11-55-05,19,20,25,107,167,80,15.00,1,27.00,3,11.00,1,9.00,1,15.00,2,29.00,3
01-11-11-55-05,20,20,24,110,169,81,19.00,1,29.00,3,5.00,3,13.00,1,17.00,2,31.00,3
01-11-11-55-05,22,20,22,110,171,82,23.00,1,29.00,3,5.00,3,17.00,1,17.00,2,21.00,1
01-11-11-55-05,22,21,21,113,173,83,25.00,1,29.00,3,5.00,3,19.00,1,19.00,2,11.00,1
01-11-11-55-05,22,20,22,115,175,83,25.00,1,31.00,3,7.00,3,19.00,1,13.00,3,11.00,1
01-11-11-55-05,23,21,20,116,176,85,29.00,2,31.00,3,5.00,1,15.00,2,13.00,3,15.00,1
01-11-11-55-05,23,21,20,116,178,88,29.00,2,31.00,3,5.00,1,15.00,2,13.00,3,15.00,1
01-11-11-55-05,21,22,21,119,180,88,21.00,2,33.00,3,5.00,1,19.00,2,5.00,3,15.00,1
01-11-11-55-05,21,21,22,120,183,90,21.00,2,35.00,3,5.00,1,19.00,2,7.00,3,15.00,1
01-11-11-55-05,22,19,23,122,184,90,19.00,1,27.00,3,7.00,1,15.00,3,11.00,3,17.00,1
01-11-11-55-05,24,19,21,123,187,91,21.00,2,27.00,3,5.00,1,15.00,3,11.00,3,9.00,1
01-11-11-55-05,24,17,23,127,188,92,21.00,2,31.00,3,5.00,1,7.00,3,15.00,3,9.00,1
01-11-11-55-05,23,18,23,127,189,92,23.00,2,27.00,2,5.00,1,7.00,3,15.00,3,9.00,1
01-11-11-55-05,24,19,21,127,193,94,15.00,1,29.00,2,9.00,1,7.00,3,15.00,3,13.00,1
01-11-11-55-05,23,19,22,130,194,95,15.00,1,31.00,2,9.00,3,9.00,3,17.00,3,13.00,1
01-11-11-55-05,22,19,23,132,196,96,15.00,1,33.00,2,9.00,1,11.00,3,19.00,3,13.00,1
01-11-11-55-05,21,20,23,133,199,98,15.00,1,35.00,3,9.00,1,11.00,3,19.00,3,13.00,1
01-11-11-55-05,20,23,21,135,204,98,19.00,1,35.00,3,5.00,1,11.00,3,19.00,3,17.00,1
01-11-11-55-05,22,22,20,136,204,98,23.00,1,37.00,3,5.00,3,11.00,2,21.00,3,9.00,1
01-11-11-55-05,22,22,20,138,206,99,23.00,1,37.00,3,5.00,3,11.00,2,21.00,3,9.00,1
01-11-11-55-05,23,21,20,139,206,100,25.00,2,27.00,3,7.00,3,11.00,2,23.00,3,11.00,1
01-11-11-55-05,23,21,20,140,209,102,25.00,2,27.00,3,7.00,3,11.00,2,23.00,3,11.00,1
01-11-11-55-05,24,19,21,142,210,103,25.00,2,31.00,3,11.00,3,11.00,2,15.00,3,13.00,1
01-11-11-55-05,22,21,21,145,212,103,27.00,1,31.00,3,11.00,3,7.00,2,15.00,3,13.00,1
