simulation_name,empty_cells,seed_cells,watered_cells,total_changes,total_tasks,total_reloads,drone0_threshold,drone0_speciality,drone1_threshold,drone1_speciality,drone2_threshold,drone2_speciality,drone3_threshold,drone3_speciality,drone4_threshold,drone4_speciality,drone5_threshold,drone5_speciality
01-14-07-39-01,0,0,0,0,0,0,5.00,3,5.00,3,5.00,3,5.00,3,5.00,3,5.00,3
01-14-07-39-01,22,24,18,6,6,0,5.00,1,6.33,2,7.67,3,13.67,2,5.00,3,9.67,3
01-14-07-39-01,22,24,18,6,6,0,5.00,1,6.33,2,7.67,3,13.67,2,5.00,3,9.67,3
01-14-07-39-01,26,24,14,6,11,2,7.67,1,6.33,2,7.67,3,12.33,1,5.00,3,9.67,3
01-14-07-39-01,27,24,13,8,13,2,9.00,1,6.33,2,7.67,3,5.67,1,5.00,3,9.67,3
01-14-07-39-01,27,22,15,12,13,2,9.00,1,6.33,2,5.00,3,5.67,1,6.33,3,7.00,3
01-14-07-39-01,27,22,15,12,14,4,9.00,1,6.33,2,5.00,3,5.67,1,6.33,3,7.00,3
01-14-07-39-01,29,22,13,12,16,7,6.33,1,6.33,2,5.00,3,7.00,1,6.33,3,7.00,3
01-14-07-39-01,27,23,14,14,20,7,6.33,1,7.67,2,5.67,3,7.00,1,5.67,2,7.67,3
01-14-07-39-01,27,23,14,15,24,7,5.00,1,9.00,2,6.33,3,7.67,1,5.00,2,8.33,3
01-14-07-39-01,26,22,16,18,25,8,5.00,1,5.67,2,9.00,3,7.67,1,5.67,2,5.00,3
01-14-07-39-01,26,21,17,18,27,10,5.00,1,5.67,2,9.67,3,7.67,1,5.67,2,5.67,3
01-14-07-39-01,26,22,16,19,29,11,5.67,1,6.33,2,9.67,3,8.33,1,6.33,2,5.67,3
01-14-07-39-01,24,24,16,23,32,11,5.00,3,11.67,2,11.00,3,9.00,1,5.00,2,7.00,3
01-14-07-39-01,23,25,16,23,34,11,5.00,3,12.33,2,11.00,3,9.00,1,5.67,2,7.00,3
01-14-07-39-01,24,26,14,24,37,14,5.00,3,9.00,1,11.00,3,11.00,1,6.33,2,7.00,3
01-14-07-39-01,22,28,14,24,39,16,5.00,3,9.00,1,11.00,3,11.00,1,5.00,2,7.00,3
01-14-07-39-01,20,30,14,26,42,16,5.00,3,9.00,1,11.00,3,7.00,2,9.00,2,5.00,2
01-14-07-39-01,18,31,15,29,44,18,5.00,3,9.00,1,13.00,3,8.33,2,10.33,2,6.33,2
01-14-07-39-01,19,30,15,30,45,19,5.67,3,9.67,1,13.67,1,8.33,2,10.33,2,6.33,2
01-14-07-39-01,19,30,15,30,48,20,5.67,3,9.67,1,13.67,1,8.33,2,10.33,2,6.33,2
01-14-07-39-01,18,29,17,34,49,21,5.67,3,9.67,1,13.67,1,9.67,2,5.00,2,7.67,2
01-14-07-39-01,17,29,18,35,52,22,6.33,3,9.67,1,13.67,1,10.33,2,5.67,2,7.67,3
01-14-07-39-01,19,29,16,35,54,23,6.33,3,11.67,1,7.67,1,10.33,2,5.67,2,7.67,3
01-14-07-39-01,20,29,15,37,58,23,7.67,3,13.67,1,9.67,1,5.00,1,6.33,2,5.00,3
01-14-07-39-01,20,27,17,41,58,24,5.67,3,13.67,1,9.67,1,5.00,1,6.33,2,5.00,2
01-14-07-39-01,20,27,17,41,58,25,5.67,3,13.67,1,9.67,1,5.00,1,6.33,2,5.00,2
01-14-07-39-01,20,27,17,41,60,29,5.67,3,13.67,1,9.67,1,5.00,1,6.33,2,5.00,2
01-14-07-39-01,18,27,19,44,63,29,7.67,3,13.67,1,9.67,1,5.00,1,8.33,2,5.00,2
01-14-07-39-01,15,30,19,46,66,29,7.67,3,13.67,1,9.67,1,5.00,1,6.33,2,7.00,2
01-14-07-39-01,15,29,20,47,67,32,8.33,3,13.67,1,9.67,1,5.00,1,6.33,2,7.00,2
01-14-07-39-01,16,30,18,48,72,32,8.33,3,15.00,1,7.00,1,6.33,1,5.00,2,8.33,2
01-14-07-39-01,17,28,19,50,74,33,9.67,3,15.67,1,7.67,1,5.00,1,5.00,2,8.33,2
01-14-07-39-01,17,28,19,52,75,33,6.33,3,17.00,1,5.00,1,6.33,1,7.00,2,5.00,2
01-14-07-39-01,17,28,19,53,76,35,6.33,3,17.00,1,5.00,1,6.33,1,7.00,2,5.00,2
01-14-07-39-01,17,27,20,54,77,37,7.67,3,14.33,3,5.00,1,6.33,1,7.00,2,5.00,2
01-14-07-39-01,16,27,21,56,80,39,8.33,3,15.00,3,5.00,1,6.33,1,7.67,2,5.67,2
01-14-07-39-01,16,25,23,56,84,39,9.67,3,16.33,3,5.00,1,6.33,1,7.67,2,5.67,2
01-14-07-39-01,17,26,21,58,87,39,10.33,1,15.00,1,7.00,1,6.33,1,5.00,2,5.67,2
01-14-07-39-01,17,25,22,59,90,40,10.33,1,15.00,1,7.00,1,6.33,1,5.00,2,5.67,2
01-14-07-39-01,18,23,23,61,90,41,9.00,3,15.67,1,7.67,1,7.00,1,5.00,2,5.67,2
01-14-07-39-01,19,23,22,61,93,43,9.00,3,16.33,1,8.33,1,7.67,1,5.00,2,5.67,2
01-14-07-39-01,20,23,21,63,96,43,9.67,1,10.33,1,10.33,1,5.00,3,5.67,2,6.33,2
01-14-07-39-01,20,22,22,65,97,43,9.67,1,10.33,1,5.00,3,7.00,3,5.67,2,6.33,2
01-14-07-39-01,20,21,23,66,98,45,9.67,1,10.33,1,5.67,3,7.67,3,5.67,2,6.33,2
01-14-07-39-01,19,21,24,66,102,48,9.67,1,10.33,1,7.67,3,5.00,3,6.33,2,5.00,2
01-14-07-39-01,17,21,26,70,104,48,9.67,1,10.33,1,5.00,3,7.67,3,9.67,2,5.00,2
01-14-07-39-01,16,22,26,70,107,49,9.67,1,10.33,1,5.00,3,7.67,3,6.33,2,5.67,2
01-14-07-39-01,16,22,26,72,110,51,10.33,1,11.00,1,5.67,3,6.33,1,7.00,2,6.33,2
01-14-07-39-01,17,22,25,73,113,51,7.67,1,12.33,1,7.00,3,7.67,1,7.67,2,7.00,2
01-14-07-39-01,18,21,25,77,114,52,8.33,1,13.00,1,7.67,3,5.00,1,7.67,2,7.00,2
01-14-07-39-01,18,20,26,78,116,52,8.33,1,13.00,1,8.33,3,5.00,1,7.67,2,7.00,2
01-14-07-39-01,20,19,25,79,117,56,9.67,1,10.33,1,9.00,3,6.33,1,7.67,2,7.00,2
01-14-07-39-01,20,19,25,79,120,56,9.67,1,10.33,1,9.00,3,6.33,1,7.67,2,7.00,2
01-14-07-39-01,19,17,28,83,121,57,9.67,1,10.33,1,10.33,1,6.33,1,8.33,2,6.33,3
01-14-07-39-01,19,17,28,83,123,58,9.67,1,10.33,1,10.33,1,6.33,1,8.33,2,6.33,3
01-14-07-39-01,19,17,28,83,127,59,10.33,1,11.00,1,7.00,1,7.00,1,9.00,2,5.00,2
01-14-07-39-01,19,17,28,86,129,59,11.67,1,12.33,1,8.33,1,5.00,1,9.67,2,5.67,2
01-14-07-39-01,19,15,30,88,131,59,6.33,3,12.33,1,8.33,1,5.00,1,9.67,2,5.67,2
01-14-07-39-01,22,15,27,88,133,60,6.33,3,10.33,1,10.33,1,7.00,1,9.67,2,5.67,2
01-14-07-39-01,22,14,28,91,134,61,7.67,3,10.33,1,7.00,3,7.00,1,9.67,2,5.67,2
01-14-07-39-01,22,15,27,92,136,62,7.67,3,11.67,1,7.00,3,8.33,1,10.33,2,6.33,2
01-14-07-39-01,23,14,27,94,138,63,8.33,3,12.33,1,7.67,3,5.00,1,10.33,2,6.33,2
01-14-07-39-01,23,14,27,96,140,64,9.00,3,13.00,1,8.33,3,5.67,1,11.00,2,7.00,2
01-14-07-39-01,22,15,27,97,141,65,9.00,3,13.00,1,8.33,3,5.67,1,11.67,2,7.67,2
01-14-07-39-01,21,16,27,99,143,67,9.00,3,13.00,1,8.33,3,5.67,1,13.00,2,9.00,2
01-14-07-39-01,22,15,27,100,147,67,9.67,3,9.67,1,9.00,3,6.33,1,13.00,2,6.33,3
01-14-07-39-01,24,15,25,102,149,68,5.67,1,13.67,1,5.67,3,10.33,1,13.67,2,7.00,3
01-14-07-39-01,23,16,25,104,151,70,5.67,1,13.67,1,5.67,3,10.33,1,15.00,2,7.00,3
01-14-07-39-01,23,17,24,104,153,71,6.33,1,14.33,1,5.67,3,11.00,1,16.33,2,7.00,3
01-14-07-39-01,24,18,22,106,157,72,9.00,1,9.00,1,5.67,3,13.67,2,18.33,2,7.00,3
01-14-07-39-01,26,17,21,107,159,72,11.00,3,6.33,1,6.33,3,13.67,2,18.33,2,7.67,3
01-14-07-39-01,26,18,20,108,161,73,5.00,1,8.33,1,6.33,3,10.33,2,19.00,2,7.67,3
01-14-07-39-01,25,18,21,111,164,74,5.00,1,8.33,1,7.00,3,11.00,2,19.67,2,8.33,3
01-14-07-39-01,26,17,21,112,165,74,7.00,1,10.33,1,7.67,3,11.00,2,17.67,1,5.00,3
01-14-07-39-01,26,18,20,114,167,76,7.67,1,11.00,1,7.67,3,11.67,2,18.33,1,5.00,3
01-14-07-39-01,26,19,19,115,170,76,9.67,1,13.00,1,7.67,3,12.33,2,8.33,1,5.00,3
01-14-07-39-01,27,18,19,117,171,78,10.33,1,13.67,1,8.33,3,12.33,2,9.00,1,5.00,3
